,zipcode,Gentrification_index,Business_renewal_index,Rent_increase,New_building_permits_over_total_permits,Major_renovation_permits_over_total_permits,Robbery_per_capita_change,Commercial_activity_growth,Taxi_pick_ups_change_per_square_mile,Noise_complaints_change_per_square_mile,Home_complaints_change_per_square_mile,Transportation_complaints_change_per_square_mile,Vehicle_parking_complaints_change_per_capita
22,10026,22.79927041,0.428298279,0.209535873,0.043233639,0.103346165,-0.000437152,549.78,0.003345797,31.79303403,-1.182761807,1.983289615,0.116573893
23,10027,19.29554308,0.585760518,0.246723133,0.04745608,0.08384668,0.000238749,523.74,-0.019355399,20.9485388,-1.959078939,1.903197811,-0.042633742
24,10028,8.436126332,0.422566372,0.100740661,0.01489959,0.041999568,-8.42E-05,357.83,-0.154495235,23.02976322,-0.762036637,0.762036637,-0.810014728
25,10029,11.93000709,0.582978723,0.130842289,0.050204596,0.036512433,-0.001548327,556.24,-0.009509504,31.71737933,0.691098676,2.678170674,-0.045159542
26,10030,46.13200083,0.53271028,0.337247552,0.031855359,0.148514851,-0.001384731,542.04,-0.011721591,21.86999278,-4.833930975,1.675762738,0.224550898
27,10031,27.06702934,0.940229885,0.290593062,0.021966304,0.069737684,-0.001069988,575.93,-0.013182882,79.51650008,-5.279800943,2.425726565,0.263111735
28,10032,16.70519029,0.975609756,0.323772273,0.03112413,0.03112413,-0.001284588,611.83,-0.004678467,29.63483846,-3.945669778,0.474965721,0.086796514
29,10033,11.25697658,0.772300469,0.283793117,0.015116942,0.03051911,-0.000460541,528.76,-0.005609744,62.49483873,-3.536135704,4.301792954,0.313167784
30,10034,6.862735558,0.677710843,0.185828987,0.018360376,0.023911187,-0.000306521,610.7,-0.002275637,40.36093511,-0.627655391,0.571337807,0.498097014
31,10035,36.1101317,0.645945946,0.219434543,0.082904362,0.097263614,-0.001461988,521.26,-0.01560337,10.19503361,0.121980881,1.219808808,0.472996216
32,10036,4.964093787,0.293019481,0.099074165,0.024207341,0.027825286,0.000807034,460.39,-0.239446236,27.55567835,-0.372966984,1.842895686,-6.435033768
33,10037,46.35080261,0.6875,0.185828987,0.099303136,0.053135889,-0.001653771,656.5,0.011561243,14.00337553,-1.616362608,1.460568621,0.531569311
34,10038,17.16796671,0.51048951,0.10557798,0.038294449,0.042316975,-0.000104564,484.61,-0.031594641,1.043749086,-0.142394145,2.990277053,-0.888795943
35,10039,33.64795674,0.561702128,0.367019995,0.068728522,0.058419244,-0.000660229,400.04,0.01043535,43.31378931,0.608146222,0.831449913,0.061896509
36,10040,6.949469139,0.823529412,0.185828987,0.007801073,0.020965383,-0.000219336,620.17,-0.002578964,80.63709322,-5.2470075,-0.458975464,0.329003485
37,10044,31.75132337,0.513513514,0.086036097,0.137566138,0.005291005,0.000171512,516.93,-0.00205108,1.693108041,-0.038118755,0,-0.171511877
38,10065,8.523428457,0.378896882,0.189125407,0.014792186,0.049200096,-2.99E-05,416.28,-0.112310575,4.777768839,-0.414242259,1.223500343,-0.777070444
39,10069,28.08952851,0.393939394,0.343455115,0.068441065,0.013307985,0,466.33,-0.001511362,-0.843040279,-0.155962452,-0.21076007,-0.769230769
40,10075,7.736414901,0.346031746,0.085571305,0.009936766,0.035230352,0.000198389,375.3,-0.16010517,26.82105461,0.935618184,-0.207915152,-1.527595921
41,10128,9.301787089,0.516736402,0.087561973,0.01469396,0.04023105,0.000197316,429.85,-0.022277741,15.89221402,-3.223849129,0.86272019,-0.260099017
42,10280,10.45019516,0.458333333,0.072263387,0.00620155,0.025581395,0,442.19,-0.017363464,6.561885361,-0.559505914,-1.119011828,0.788643533
43,10282,2.696683662,0.285714286,0.185828987,0.001658375,0.008291874,0.000483209,533.69,-0.140805404,-0.211153379,3.839152346,0.319929362,-2.17443827
44,10301,15.6017351,0.50513347,0.063215509,0.205827068,0.092105263,-0.000766606,654.24,-3.37E-06,1.248684282,-0.200888525,1.525916151,2.893318166
45,10302,33.9530624,0.430985915,0.058360232,0.306744488,0.097924773,-0.000993213,465.89,1.18E-05,2.345770335,-0.376243562,3.941760336,4.855708216
46,10303,14.23233559,0.371657754,0.037955007,0.269635127,0.063698207,-7.39E-05,379.46,2.04E-06,1.257751866,-0.398139044,1.543554448,3.623188406
47,10304,19.36526259,0.437362637,0.044792274,0.297754367,0.122262268,-0.00110838,460.81,8.36E-06,0.906067478,-0.127256668,1.277656949,2.819141246
48,10305,15.08031626,0.378666667,0.082635541,0.287366046,0.100958827,-0.000143726,436.35,4.42E-06,0.834516093,-0.086412795,0.390338173,2.658937383
49,10306,10.81128659,0.353092784,0.101370315,0.258196053,0.108628282,-5.40E-05,415.13,6.61E-08,1.127724073,-0.219008449,0.126362074,1.717564116
50,10307,19.54881497,0.295081967,0.046265535,0.339412361,0.090172239,0,450.63,-2.19E-08,-0.572255606,-0.078864383,0.28243443,1.383371169
51,10308,17.82035931,0.350515464,0.133951701,0.190899001,0.164261931,-3.62E-05,528.47,2.75E-08,1.418303146,-0.135455918,0.693215582,1.068376068
52,10309,9.275156444,0.281198003,0.098938621,0.398802395,0.042155689,-0.000211391,443.93,2.19E-07,0.009266304,0.00579144,0.085713309,1.525034729
53,10310,12.3828397,0.353281853,0.082639715,0.153550864,0.083173385,-0.001279846,558.48,1.06E-05,3.553841398,-0.17769207,1.608580844,3.179618446
54,10312,12.30888462,0.328254848,0.133651748,0.323935213,0.106178764,3.42E-05,508.74,-3.07E-07,0.855592858,-0.113136734,0.493827356,0.71787509
55,10314,7.344952482,0.413123845,0.068299615,0.268703154,0.093621836,-0.000409692,339.48,1.16E-06,0.329841156,-0.048524668,0.455709925,3.30680089
56,10451,19.09039516,0.681818182,0.142706632,0.089519651,0.042303493,0.000226552,608.5,-0.004517983,14.76397275,-0.419083588,5.096028786,0.690983235
57,10452,23.11703708,0.696969697,0.185828987,0.104064471,0.042747022,0.000473037,803.57,-0.002533316,29.82390172,-1.365498117,10.99803108,0.321927888
58,10453,25.51213663,0.869639794,0.185828987,0.069010845,0.056523168,-0.000335155,684.63,-0.002172866,28.97255108,-1.582615893,19.70987892,0.270702279
59,10454,23.98702107,0.647619048,0.185828987,0.116654702,0.057430007,2.67E-05,408.61,-0.000667117,5.644224262,-0.354112057,2.398304383,0.453744729
60,10455,23.12992213,0.674418605,0.185828987,0.078175896,0.050669562,-0.0006025,699.85,-0.001870319,4.854153976,-0.617728127,9.522888742,0.364010644
61,10456,23.65916838,0.873770492,0.148957093,0.078600269,0.050336474,-0.001107506,539.52,-0.001280002,26.03541979,0.200444637,14.86631056,0.318827609
62,10457,23.17692311,0.705705706,0.139519897,0.1265625,0.050260417,-0.000839822,571.06,-0.001098344,19.02200973,-3.662799556,9.471154288,0.647659175
63,10458,14.25397804,0.683561644,0.185828987,0.066514922,0.038947901,-0.00078123,588.02,-0.001832437,16.17123149,-3.711548679,10.32839202,0.132305133
64,10459,25.677835,0.664609053,0.119510439,0.111305872,0.052585451,-0.002798906,542.13,-0.001384789,20.44169987,-0.60970363,11.81716489,0.40594821
65,10460,27.32843312,0.711267606,0.185828987,0.153690597,0.038422649,-0.001252867,500.59,-0.000886109,16.92472528,-1.318990775,11.15040724,0.794070937
66,10461,11.13102241,0.497005988,0.09227113,0.083149606,0.079370079,3.96E-05,506.89,-0.000533849,3.809527898,-0.419902837,5.435815724,3.402639024
67,10462,11.90203826,0.609103079,0.01038706,0.093670886,0.047151899,-0.000568227,498.89,-0.000794643,5.639114005,-0.766089668,8.458671007,1.242170362
68,10463,14.03208626,0.523326572,0.192732221,0.093773257,0.042421235,-0.000353902,569.93,-0.00121526,16.39752485,-0.938400465,8.261540085,0.155716935
69,10464,20.36632779,0.328125,0.162402558,0.346441948,0.119850187,0,606.2,1.84E-05,-0.346477951,-0.077199619,0.308581925,-0.337990086
70,10465,17.54000787,0.483028721,0.131215962,0.209366391,0.124885216,0.000142816,551.17,-1.42E-05,2.207357839,-0.064561505,1.401906955,5.462724936
71,10466,26.30045744,0.56952381,0.141464932,0.207331494,0.093417422,0.000232079,606.85,-5.49E-06,7.642254182,-1.119565899,11.04727625,2.074207305
72,10467,15.4852799,0.615942029,0.111827384,0.123795404,0.064492216,-0.000214435,560.02,-0.000580487,13.87443307,-1.604501746,10.24717744,0.50034718
73,10468,12.55707377,0.716297787,0.185828987,0.061173533,0.025593009,-0.001029131,538.96,-0.002162586,34.82564351,-3.128229119,9.666855016,0.130356628
74,10469,22.13278264,0.483918129,0.105440589,0.21735731,0.123924941,-0.000368658,431.06,-3.24E-05,3.463652668,-0.468394834,9.464897178,3.056788682
75,10470,30.06345483,0.533333333,0.127981415,0.141321045,0.0906298,0.000474898,405.28,-5.51E-05,5.260528795,-0.649849141,7.426847324,5.223880597
76,10471,12.207411,0.416107383,0.230603343,0.130147433,0.095577021,-0.000425949,539.85,-3.24E-05,1.331044363,-0.068264405,0.892345169,3.854836649
77,10472,26.20899925,0.646076795,0.185828987,0.132075472,0.058280922,-0.000934354,485.37,-0.000455425,27.98996018,-1.634841558,19.31322109,0.263728977
78,10473,27.50387874,0.613207547,0.119747899,0.262969589,0.046064401,-0.00130396,367.94,-8.86E-05,4.586512111,-0.352808624,5.275328949,2.178985656
